precinct_id,dis_id,voters_total,lat,lon,mun_id
59065,59,1512,42.25383475843951,42.71916866143001,59
59066,59,1443,42.26332693708221,42.72619242519179,59
59067,59,1044,42.25856640411428,42.717677654759115,59
59068,59,1341,42.25940371195709,42.71988723199351,59
59069,59,994,42.261259954392905,42.723039517296364,59
59070,59,1225,42.26334813051616,42.71546278680811,59
59071,59,1366,42.25717330136334,42.71616890698672,59
59072,59,1270,42.258812972619396,42.714860273495034,59
59073,59,1341,42.26074256427972,42.71460270481116,59
59074,59,358,42.26285958073949,42.67417736961824,59
59075,59,648,42.26679611896399,42.679872230049504,59
59076,59,1218,42.26756365196816,42.675837268361036,59
59077,59,1567,42.2649439780285,42.67618868908779,59
59078,59,1401,42.26496116804985,42.683379762936795,59
59079,59,1475,42.263484974255846,42.68091293477433,59
59080,59,1284,42.262469299927,42.6831604063714,59
59081,59,1392,42.264339186162374,42.68610201221579,59
59082,59,986,42.266198513476915,42.68611083410722,59
59083,59,1593,42.263083088169104,42.68990583049667,59
59084,59,842,42.26267463507482,42.686470221798785,59
59085,59,1326,42.26551497106737,42.69034171575536,59
59086,59,1447,42.262983956126675,42.692881141001955,59
59087,59,1310,42.26441301055694,42.6922994724902,59
59088,59,1297,42.26613194294905,42.69693968152271,59
59089,59,968,42.26247947701512,42.696797602927575,59
59090,59,1278,42.265921870592805,42.69401791636084,59
59091,59,1275,42.265798772323166,42.70055370054764,59
59092,59,532,42.26320769177087,42.70150589192611,59
59093,59,1239,42.26809240891063,42.699219235248655,59
59094,59,1486,42.265384647106515,42.70640515940388,59
59095,59,1261,42.26515082605681,42.70410363629238,59
59096,59,1261,42.26281723033346,42.70917363586298,59
59097,59,1068,42.2676849759605,42.70547483114928,59
59098,59,1432,42.26648359603852,42.71067497691989,59
59099,59,1236,42.26761206569649,42.71441684536333,59
60001,60,1487,41.93248312350899,41.994691221398035,60
60002,60,1277,41.930679718687394,41.977189184064585,60
60003,60,1127,41.921326341762125,41.985952258581015,60
60004,60,1353,41.928228052256735,41.992115957301145,60
60005,60,1101,41.93323594617813,42.01335031501452,60
60006,60,1314,41.92477543559052,42.00218551847636,60
60007,60,1521,41.92880400632417,42.0249383395857,60
60008,60,1438,41.9174226847427,42.00866310253002,60
60009,60,1138,41.92143104521199,42.01582521938779,60
60010,60,790,41.9079973243144,41.97942078041531,60
60011,60,1616,41.901787321236824,41.90408123412435,60
60012,60,1174,41.91825656135855,41.902439170568236,60
60013,60,843,41.89760412479988,41.95051863378415,60
60014,60,690,41.993483050370934,41.773166787752004,60
60015,60,352,41.91421059840493,41.99602298908919,60
60016,60,851,41.96934475797381,42.03645517375585,60
60017,60,810,41.95973093435404,42.1528484029891,60
60018,60,269,41.979291733421014,42.15438451252837,60
60019,60,954,41.97625068332474,41.98436648731833,60
60020,60,899,41.9485404540157,42.10782158246514,60
60021,60,874,41.96335484736702,42.08246808822638,60
60022,60,505,41.962162407884826,42.122718974183144,60
60023,60,1583,41.92463571745838,42.046370804877235,60
60024,60,1241,41.950347402981194,41.958822982907094,60
60025,60,1238,41.944404635027574,42.05904366487914,60
60026,60,847,41.93988368414898,42.08593530645266,60
60027,60,763,41.91097558099703,42.154621295892454,60
60028,60,373,41.92378750818507,42.12929612351993,60
60029,60,776,41.96666888398816,41.87305451539909,60
60030,60,1268,41.9812623583491,41.91990420165052,60
60031,60,1155,41.88418773343562,42.00442003583307,60
60032,60,1019,41.85179725544684,42.00759802283847,60
60033,60,1566,41.891820088415706,42.05042647316049,60
60034,60,1274,41.94635260806542,42.02391792154437,60
60035,60,1605,41.95274251006828,41.895093039003044,60
60036,60,723,41.93615032919558,41.859203912046475,60
60037,60,624,41.943156988128585,41.902493823760054,60
60038,60,680,41.93310339503335,42.17639829768422,60
60039,60,919,41.98844045303426,42.110870487136594,60
60040,60,1480,41.92762992788739,41.816028027263116,60
60041,60,1006,41.94081075574422,41.807861355744755,60
60042,60,1025,41.96200521504016,41.84048990903768,60
60043,60,1520,41.9501221038222,41.97783512641016,60
60044,60,855,41.999644943087986,41.99656552186668,60
60045,60,1405,41.91223429959493,42.06872897404077,60
60046,60,498,41.896566027107724,42.1085551528472,60
60047,60,723,41.916366048348706,42.05029099161596,60
60048,60,1465,41.909635889999926,42.0385381883393,60
60049,60,1551,42.00372298050244,41.81596503265662,60
60050,60,816,41.91843936142177,42.09740193664842,60
60051,60,759,41.93375581823058,42.099954610576226,60
60052,60,1494,41.99391536358562,42.057873190393295,60
60053,60,804,41.86478823439133,41.97722295045075,60
60054,60,1028,42.0135467830077,41.96524315989604,60
60055,60,1135,41.93198154086048,41.9310513877949,60
60056,60,1211,41.93509703654533,41.944892277817914,60
60057,60,825,41.92723184233601,41.96513784793653,60
60058,60,1053,41.919569552134995,41.94823459612416,60
60059,60,1202,41.965027297092945,42.00678887144452,60
60060,60,732,41.95087941206983,41.93932772267084,60
60061,60,1043,41.94124503814653,41.83353740802397,60
60062,60,730,41.91334151827474,42.028965334179084,60
61001,61,1289,42.06606401920271,42.035032495809,61
61002,61,1321,42.12317174413859,42.04797107580672,61
61003,61,1211,42.07060503800807,42.051880270738565,61
61004,61,1271,42.08436337302724,42.0332793679076,61
61005,61,510,42.052129240817166,42.10890809555169,61
61006,61,582,42.016611115828574,42.08854674671729,61
61007,61,380,42.02932007228207,42.11487571840578,61
61008,61,938,42.044121085439926,42.059415214473,61
61009,61,1001,42.1088493314537,42.00057745213802,61
61010,61,1288,42.083664016515975,41.959297235321785,61
61011,61,917,42.01554761705781,42.02397648997652,61
61012,61,684,42.071271549822804,42.02217855871373,61
61013,61,58,42.04880718895534,42.010629396921296,61
61014,61,613,42.05788397198106,41.934240601409606,61
61015,61,866,42.08306884225457,41.90024844509648,61
61016,61,718,42.06267874174705,41.88148358596717,61
61017,61,615,42.09057764601844,42.10877101179224,61
61018,61,874,42.08411401024557,42.16375981700833,61
61019,61,392,42.09679051227314,42.13677874448839,61
61020,61,424,42.07812621555501,42.14298815759377,61
61021,61,510,42.03711983552517,41.945651031053586,61
61022,61,854,42.05095395476802,41.84229878735822,61
61023,61,829,42.06286041120217,41.81371250736131,61
61024,61,1146,42.041210712793195,41.771357678528084,61
61025,61,1473,42.022816032972074,41.818183879427224,61
61026,61,924,42.01534212134494,41.78527012293458,61
61027,61,919,42.10970411660885,42.091740332154956,61
61028,61,747,42.06957198177088,41.990822442481395,61
61029,61,779,42.09990839021602,41.98290133592664,61
61030,61,593,42.01909967994798,41.92721138274332,61
61031,61,290,42.00764923826728,41.89904392286093,61
61032,61,630,42.03502666456098,41.864140115952964,61
61033,61,476,42.03632142193458,41.89419856158917,61
61034,61,315,42.02039470875611,41.89045214935647,61
61035,61,754,42.057725935127735,41.95609395109044,61
61036,61,652,42.09113923821841,41.925011468852624,61
61037,61,1498,42.08594378663897,42.049388106725665,61
61038,61,758,42.07467268802354,42.0719182339968,61
62001,62,978,42.01453246994341,42.237099935120305,62
62002,62,348,42.00224144771415,42.30931285580914,62
62003,62,384,41.990093444567385,42.30269081498042,62
62004,62,564,42.04928036965737,42.18141593008726,62
62005,62,393,42.028976670366546,42.16508274748488,62
62006,62,794,42.03089745513813,42.22290586094463,62
62007,62,553,42.00642700848942,42.1928216334506,62
62008,62,978,42.004065697503584,42.24046082373697,62
62009,62,721,42.00938365191437,42.27467979263884,62
62010,62,111,42.011558083157105,42.21248894650254,62
62011,62,462,41.987874290675634,42.26588796337115,62
62012,62,343,41.97093174514637,42.29892356030886,62
62013,62,249,41.97131070758948,42.476147923571844,62
62014,62,230,42.02160976625659,42.14300196368495,62
62015,62,282,42.05320191434046,42.14584377543186,62
62016,62,302,42.03320273508355,42.13554405962581,62
62017,62,846,41.892173725138356,42.44112103417205,62
62018,62,792,42.02164678077463,42.31616132738391,62
62019,62,280,42.043490106223466,42.28253679515855,62
62020,62,253,42.02772824175865,42.28665501895861,62
62021,62,362,41.94348997242583,42.36678760434435,62
62022,62,281,41.92394157680946,42.41004385122005,62
62023,62,224,41.90154490060239,42.38886159894447,62
62024,62,417,42.0449072769133,42.35513578026263,62
62025,62,332,42.02712329345301,42.34709011937536,62
62026,62,867,42.04359623150514,42.25254944125726,62
62027,62,453,42.027631444035634,42.25577024955433,62
62028,62,631,41.97566497305287,42.18309641239069,62
62029,62,271,41.95984956771789,42.17567289457781,62
62030,62,572,41.999880865996694,42.16171831843478,62
62031,62,810,42.04367221581634,42.20610408886572,62
62032,62,186,41.9776575111672,42.41195308494572,62
