area_id,name_en,name_ka,level,code,parent_id,parent_name_en,parent_name_ka,voters_total,lat,lon
68,Tsalenjikha,წალენჯიხა,mun,GE-M068,10,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,32029,42.71577321663152,42.06918169086175
69,Chkhorotsku,ჩხოროწყუ,mun,GE-M069,10,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,23160,42.62878102274377,42.23212154018462
70,Poti city,ქ. ფოთი,mun,GE-M070,10,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,41562,42.140255331693645,41.69781563358213
50,Sachkhere,საჩხერე,mun,GE-M050,8,Imereti,იმერეთი,44298,42.303298789600596,43.48592075598195
79,Batumi city,ქ. ბათუმი,mun,GE-M079,11,Adjara,აჭარა,133316,41.61996181661331,41.632655389513324
80,Keda,ქედა,mun,GE-M080,11,Adjara,აჭარა,15789,41.592779229644826,41.96989072178914
81,Kobuleti,ქობულეთი,mun,GE-M081,11,Adjara,აჭარა,69244,41.765508704128635,41.92713073320642
82,Shuakhevi,შუახევი,mun,GE-M082,11,Adjara,აჭარა,15231,41.60549372102141,42.25053809719382
83,Khelvachauri,ხელვაჩაური,mun,GE-M083,11,Adjara,აჭარა,47033,41.548995687880094,41.73833166582477
84,Khulo,ხულო,mun,GE-M084,11,Adjara,აჭარა,24329,41.6525190114083,42.42499453578156
101,Abkhazia,აფხაზეთი,mun,GE-M101,101,Abkhazia,აფხაზეთი,0,43.109597311085984,41.16546701341223
102,Tskhinvali region,ცხინვალის რეგიონი,mun,GE-M102,102,Tskhnivali Region,ცხინვალის რეგიონი,0,42.35179351705065,44.0832895926681
1,Tbilisi,თბილისი,mun,GE-M001,1,Tbilisi,თბილისი,1025133,41.72119066965149,44.8120832886373
